class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season;is_fragile
p;13.64;x;g;n;f;e;c;w;6.88;6.87;s;y;w;u;w;t;p;k;d;a;f
p;17.34;p;g;n;f;e;c;w;9.15;8.59;s;y;w;u;w;t;p;k;d;a;f
p;12.73;p;g;n;f;e;c;w;7.54;5.95;s;y;w;u;w;t;p;k;d;u;f
p;12.92;x;g;n;f;e;c;w;6.8;6.51;s;y;w;u;w;t;p;k;d;a;f
p;14.98;x;g;n;f;e;c;w;8.55;7.66;s;y;w;u;w;t;p;k;d;a;f
p;14.68;x;g;n;f;e;c;w;7.68;6.4;s;y;w;u;w;t;p;k;d;u;f
p;12.03;p;g;n;f;e;c;w;7.26;7.06;s;y;w;u;w;t;p;k;d;u;f
p;15.84;x;g;n;f;e;c;w;7.66;6.32;s;y;w;u;w;t;p;k;d;a;f
p;16.56;x;g;n;f;e;c;w;8.8;8.44;s;y;w;u;w;t;p;k;d;u;f
p;11.75;p;g;n;f;e;c;w;7.5;6.37;s;y;w;u;w;t;p;k;d;u;f
p;13.59;p;g;n;f;e;c;w;7.61;6.44;s;y;w;u;w;t;p;k;d;u;f
p;12.48;p;g;n;f;e;c;w;7.14;6.64;s;y;w;u;w;t;p;k;d;a;f
p;14.23;x;g;n;f;e;c;w;7.99;6.93;s;y;w;u;w;t;p;k;d;u;f
p;15.67;x;g;n;f;e;c;w;8.23;8.2;s;y;w;u;w;t;p;k;d;a;f
p;13.6;x;g;n;f;e;c;w;7.8;7.37;s;y;w;u;w;t;p;k;d;a;f
p;15.7;p;g;n;f;e;c;w;8.49;8.35;s;y;w;u;w;t;p;k;d;u;f
p;16.79;x;g;n;f;e;c;w;8.63;7.05;s;y;w;u;w;t;p;k;d;a;f
p;12.44;x;g;n;f;e;c;w;7.47;5.92;s;y;w;u;w;t;p;k;d;u;f
p;16.66;x;g;n;f;e;c;w;9.11;8.91;s;y;w;u;w;t;p;k;d;u;f
p;16.46;x;g;n;f;e;c;w;8.8;8.71;s;y;w;u;w;t;p;k;d;u;f
p;16.44;x;g;n;f;e;c;w;8.79;8.71;s;y;w;u;w;t;p;k;d;u;f
p;11.93;p;g;n;f;e;c;w;7.97;7.09;s;y;w;u;w;t;p;k;d;a;f
p;16.67;x;g;n;f;e;c;w;8.22;8.08;s;y;w;u;w;t;p;k;d;u;f
p;13.44;x;g;n;f;e;c;w;7.97;7.63;s;y;w;u;w;t;p;k;d;u;f
p;13.86;x;g;n;f;e;c;w;8.03;6.39;s;y;w;u;w;t;p;k;d;u;f
p;16.3;x;g;n;f;e;c;w;8.04;6.86;s;y;w;u;w;t;p;k;d;u;f
p;15.18;p;g;n;f;e;c;w;8.85;8.58;s;y;w;u;w;t;p;k;d;a;f
p;16.3;p;g;n;f;e;c;w;9.09;7.73;s;y;w;u;w;t;p;k;d;a;f
p;14.47;x;g;n;f;e;c;w;8.14;5.84;s;y;w;u;w;t;p;k;d;u;f
p;16.14;p;g;n;f;e;c;w;8.46;6.5;s;y;w;u;w;t;p;k;d;a;f
p;14.05;x;g;n;f;e;c;w;7.82;6.58;s;y;w;u;w;t;p;k;d;u;f
p;15.52;x;g;n;f;e;c;w;7.69;7.2;s;y;w;u;w;t;p;k;d;a;f
